GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tg-cust-pref-retriever,com.tg.cust.pref.retriever.service.impl,CustomerPrefRetrieverServiceImpl,0,27,0,0,0,6,0,4,0,4
tg-cust-pref-retriever,com.tg.cust.pref.retriever.web,CustomerPrefRetrieverController,0,33,0,0,0,8,0,4,0,4
