GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tg-cust-pref-store,com.tg.cust.pref.store.service.impl,CustomerPrefStoreServiceImpl,0,203,0,6,0,52,0,14,0,11
tg-cust-pref-store,com.tg.cust.pref.store.web,CustomerPrefStoreController,0,79,0,0,0,17,0,7,0,7
